종목코드,종목명,시가총액,상장주식수
5930,삼성전자,3.30129E+14,5969782550
373220,LG에너지솔루션,1.01907E+14,234000000
207940,삼성바이오로직스,5.84339E+13,71174000
660,SK하이닉스,5.46002E+13,728002365
51910,LG화학,4.23554E+13,70592343
5935,삼성전자우,4.15558E+13,822886700
6400,삼성SDI,4.06398E+13,68764530
5380,현대차,3.22639E+13,213668187
35420,NAVER,2.91187E+13,164049085
270,기아,2.4038E+13,405363347
35720,카카오,2.36513E+13,445410387
5490,POSCO홀딩스,2.33839E+13,84571230
68270,셀트리온,2.25992E+13,140805210
28260,삼성물산,2.12117E+13,186887081
105560,KB금융,1.98315E+13,408897068
12330,현대모비스,1.89042E+13,94285094
55550,신한지주,1.79092E+13,508784869
96770,SK이노베이션,1.42397E+13,92465564
32830,삼성생명,1.42E+13,200000000
66570,LG전자,1.41555E+13,163647814
34730,SK,1.40142E+13,74149329
15760,한국전력,1.39948E+13,641964077
3670,포스코케미칼,1.39434E+13,77463220
33780,KT&G,1.25623E+13,137292497
86790,하나금융지주,1.24427E+13,295903476
3550,LG,1.22852E+13,157300993
51900,LG생활건강,1.12763E+13,15618197
10130,고려아연,1.12028E+13,19863158
17670,SK텔레콤,1.03727E+13,218833144
329180,현대중공업,1.02977E+13,88773116
