Date,Open,High,Low,Close,Volume,Change
2018-01-02,205500,206500,202000,206500,139383,0.009779951100244544
2018-01-03,203500,206500,201500,202500,199137,-0.01937046004842613
2018-01-04,204000,204000,197000,198500,307437,-0.01975308641975304
2018-01-05,199000,202000,197000,201500,209744,0.015113350125944613
2018-01-08,202000,202000,196500,197500,346259,-0.01985111662531014
2018-01-09,198000,199000,195000,196000,283686,-0.0075949367088608
2018-01-10,197500,203000,197000,203000,380041,0.03571428571428581
2018-01-11,203500,204000,199500,200500,320667,-0.012315270935960632
2018-01-12,203000,203000,200000,201000,187696,0.0024937655860348684
2018-01-15,201000,201500,197500,198500,161196,-0.01243781094527363
2018-01-16,199000,199500,195500,197500,192448,-0.005037783375314908
2018-01-17,197000,198000,195500,198000,167718,0.0025316455696202667
2018-01-18,197000,198500,191500,192500,315582,-0.02777777777777779
2018-01-19,192500,195000,191500,194500,164957,0.010389610389610393
2018-01-22,195000,196500,193000,195000,166489,0.0025706940874035134
2018-01-23,196000,199000,194500,199000,245692,0.02051282051282044
2018-01-24,198500,199500,197500,199500,150757,0.002512562814070307
2018-01-25,199000,201500,198000,200000,238334,0.0025062656641603454
2018-01-26,199000,200000,197000,198000,157345,-0.010000000000000009
2018-01-29,198500,210500,198000,210000,633031,0.06060606060606055
2018-01-30,209500,214000,209000,210000,442577,0.0
2018-01-31,209000,209000,202500,204500,330454,-0.02619047619047621
2018-02-01,203000,210000,203000,205500,332244,0.004889975550122161
2018-02-02,206000,206500,199000,200000,242778,-0.02676399026763987
2018-02-05,198500,204000,196500,198500,295795,-0.007499999999999951
2018-02-06,195000,196000,190500,193000,339109,-0.027707808564231717
2018-02-07,194500,196000,190500,190500,287520,-0.012953367875647714
2018-02-08,190000,193000,187000,189000,340966,-0.007874015748031482
2018-02-09,185000,187000,182000,185000,230767,-0.021164021164021163
2018-02-12,186000,187000,181000,185500,146429,0.002702702702702675
2018-02-13,186000,191000,185000,190000,240800,0.0242587601078168
2018-02-14,190500,191000,188500,190500,182934,0.002631578947368318
2018-02-19,194000,198000,192500,196500,202662,0.03149606299212593
2018-02-20,196500,197500,193500,194500,97865,-0.010178117048346036
2018-02-21,194000,197500,193000,195500,159349,0.005141388174807249
2018-02-22,196000,196500,192500,193000,263831,-0.012787723785166238
2018-02-23,195000,199500,194000,199500,257018,0.033678756476683835
2018-02-26,202000,209500,201000,209000,500147,0.04761904761904767
2018-02-27,210000,211000,207000,207000,237529,-0.009569377990430672
2018-02-28,204000,210500,204000,205500,288842,-0.007246376811594235
2018-03-02,201500,209500,201500,207500,273479,0.009732360097323589
2018-03-05,208000,213000,207500,208500,224667,0.004819277108433662
2018-03-06,211000,211500,204000,204500,243364,-0.01918465227817745
2018-03-07,203500,205500,199500,203500,220301,-0.004889975550122272
2018-03-08,201500,203000,198000,202500,324654,-0.004914004914004955
2018-03-09,202500,205000,200000,204500,149037,0.009876543209876631
