일자,감정
20180101,4
20180102,22
20180103,37
20180104,21
20180105,20
20180106,1
20180107,24
20180108,53
20180109,55
20180110,28
20180111,37
20180112,8
20180113,2
20180114,12
20180115,22
20180116,32
20180117,12
20180118,23
20180119,12
20180120,-1
20180121,-1
20180122,23
20180123,29
20180124,8
20180125,102
20180126,25
20180127,2
20180128,5
20180129,19
20180130,11
20180131,102
20180201,27
20180202,2
20180204,5
20180205,30
20180206,27
20180207,28
20180208,30
20180209,15
20180210,-1
20180211,1
20180212,21
20180213,17
20180214,11
20180216,2
20180218,9
20180219,34
20180220,9
20180221,22
20180222,39
20180223,12
20180225,6
20180226,29
20180227,17
20180228,32
20180301,11
20180302,8
20180304,4
20180305,13
20180306,39
20180307,19
20180308,36
20180309,16
20180310,1
20180311,15
20180312,19
20180313,36
20180314,31
20180315,20
20180316,10
20180317,3
20180318,8
20180319,9
20180320,21
20180321,39
20180322,29
20180323,28
20180325,2
20180326,14
20180327,18
20180328,20
20180329,27
20180330,21
20180331,1
20180401,4
20180402,44
20180403,26
20180404,14
20180405,14
20180406,51
20180408,1
20180409,30
20180410,25
20180411,40
20180412,33
20180413,4
20180414,-1
20180415,1
20180416,22
20180417,9
20180418,18
20180419,6
20180420,12
20180421,3
20180422,10
20180423,26
20180424,87
20180425,23
20180426,88
20180427,44
20180429,-4
20180430,34
20180501,2
20180502,17
20180503,25
20180504,18
20180505,-1
20180506,1
20180507,9
20180508,16
20180509,23
20180510,20
20180511,2
20180512,-1
20180513,4
20180514,52
20180515,2
20180516,21
20180517,17
20180518,19
20180520,2
20180521,16
20180522,2
20180523,63
20180524,20
20180525,13
20180526,-1
20180527,4
20180528,27
20180529,29
20180530,27
20180531,31
20180601,8
20180603,1
20180604,13
20180605,30
20180606,9
20180607,21
20180608,5
20180610,6
20180611,20
20180612,6
20180613,4
20180614,12
20180615,6
20180616,-1
20180617,14
20180618,14
20180619,11
20180620,46
20180621,23
20180622,10
20180624,2
20180625,-2
20180626,19
20180627,23
20180628,18
20180629,20
20180701,5
20180702,20
20180703,13
20180704,24
20180705,28
20180706,15
20180708,5
20180709,19
20180710,27
20180711,9
20180712,4
20180713,4
20180714,-2
20180715,5
20180716,19
20180717,34
20180718,42
20180719,26
20180720,18
20180721,1
20180722,7
20180723,12
20180724,30
20180725,54
20180726,69
20180727,40
20180729,5
20180730,19
20180731,47
