date,title,link,content
2022-11-09,"엔씨소프트, 블록체인 기업 '미스틴랩스'에 1천500만불 투자",https://n.news.naver.com/mnews/article/001/0013563099?sid=105,"[




엔씨소프트 판교 R&amp;D 센터[엔씨소프트 제공](서울=연합뉴스) 김주환 기자 = 올해 초 '리니지W' 글로벌판에 대체불가토큰(NFT) 기술 탑재 계획을 발표한 엔씨소프트가 글로벌 블록체인 기업 미스틴랩스에 전략적 투자를 단행했다.    미스틴랩스는 총 3억 달러 규모의 시리즈B 투자 라운드에 엔씨소프트가 1천500만 달러(약 206억 원)를 투자, 전략적 파트너십을 구축했다고 9일(한국시간) 밝혔다.    메타 출신 임원 에반 쳉 CEO를 주축으로 2021년 설립된 미스틴랩스는 자체 레이어1 블록체인 '수이'(Sui)를 개발한 블록체인 기업이다.    미스틴랩스는 지난해 말 삼성전자의 벤처캐피탈(VC) 자회사인 삼성넥스트로부터 3천600만 달러 규모의 시리즈A 투자를 받아 국내에서도 주목받은 바 있다.    엔씨소프트는 올해 초 작년 4분기 실적발표에서 대표작인 '리니지W'에 NFT를 비롯한 블록체인 기술을 탑재해 서구권 시장에 내놓겠다는 계획을 밝힌 바 있다.    윤송이 엔씨소프트 최고전략책임자(CSO)는 ""블록체인 기술은 창의적이고 혁신적인 플레이어 경험을 만들어낼 잠재력을 가지고 있다""며 ""플레이어 중심 경제를 위한 플랫폼이라는 비전을 공유하는 미스틴랩스와 파트너십을 맺게 돼 뜻깊게 생각한다""고 밝혔다.



미스틴랩스 [미스틴랩스 홈페이지 캡처]    jujuk@yna.co.kr
]"
2022-11-09,"장현국 위메이드 대표, '2022 한국블록체인 추계 학술대회' 기조연설 맡아",https://n.news.naver.com/mnews/article/092/0002273170?sid=105,"[
게임과 디지털 이코노미 on 웹3.0 주제장현국 위메이드 대표가 오는 11일 더케이호텔 서울에서 개최하는 '2022 한국블록체인학회 추계 학술대회'에서 기조 연설을 한다.이번 학술대회 행사는 '웹3.0시대의 블록체인 선도 전략'을 주제로, 산업계와 함께 다양한 분야에서 연구한 논문과 연구결과 발표 및 토론이 있을 예정이다.행사는 박수용 한국블록체인학회 회장의 환영사로 문을 연다. 이어 김종석 규제개혁위원회 민간위원장의 축사와 송상훈 과학기술정보통신부 정보통신정책관의 격려사도 있다.



장현국 위메이드 대표는 오는 11일 개최되는 2022 한국블록체인학회 추계 학술대회에서 첫 기조연설을 맡는다.장현국 대표는 오전 10시 첫 기조연설자로 나서 '게임과 디지털 이코노미 on 웹3.0'을 주제로 발표한다.그동안 장 대표는 게임이 블록체인과 메타버스 등에 적용되는 디지털 이코노미에 적합한 콘텐츠라는 점을 강조해왔다. 이번 기조연설에서도 이 같은 내용을 다시 알릴 것으로 예상되고 있다.위메이드는 위믹스3.0 블록체인 생태계 확대에 팔을 걷어 붙였다. 해당 생태계는 기축통화인 위믹스 달러와 위믹스 코인을 활용한 게임 플랫폼 위믹스플레이와 신경제 플랫폼 나일, 탈중앙금융 플랫폼 위믹스디파이가 중심이다.장 대표에 이어 민경식 한국인터넷진흥원 원장도 '웹3.0기반의 메타버스와 블록체인'을 주제로 두 번째 기조연설에 나선다고 학회 측은 설명했다.오후에는 블록체인 기반 기술 전략과 적용 사례, CBDC 연구 등을 주제로 한 세션 발표가 있다. 정희헌 람다256 실장을 비롯해 표철민 체인파트너스 대표, 유희준 한국은행 팀장, 김윤호 비디젠 이사, 박혜진 바이야드 대표, 김도형 리드포인트시스템 이사, 안계혁 비스퀘어랩 이사 등이 강연자로 나선다.
]"
2022-11-09,"컴투스홀딩스, '안녕 엘라' 글로벌 출시…XPLA 블록체인 적용",https://n.news.naver.com/mnews/article/629/0000183466?sid=105,"[




'안녕 엘라' 대표 이미지 /컴투스홀딩스 제공컴투스홀딩스는 모바일 수집형 역할수행게임 '안녕 엘라'를 국내외 시장에 출시했다고 9일 밝혔다. '안녕 엘라'는 컴투스홀딩스와 알피지리퍼블릭이 손잡고 선보이는 첫 번째 작품이다. 영어, 일본어, 중국어 등 모두 7개 언어를 지원한다.이 게임은 판타지 세계인 에스페란서 대륙을 무대로 시간을 초월해 운명적 모험에 나서는 '엘라'와 동료들의 이야기를 담았다. 감성적인 스토리를 애니메이션과 컷툰(모바일용 웹툰)으로 표현했다.한국, 중국, 싱가포르를 제외한 글로벌 이용자들은 XPLA 블록체인 메인넷에서 P2O 시스템을 이용할 수 있다. 나만의 NFT 영웅을 제작해 게임에서 활용할 수 있다. 게임 외부 C2X NFT 마켓플레이스를 통해 거래할 수 있다. NFT 영웅을 보유하고 사용 중이라면 토크노믹스에도 연결된다. 컴투스홀딩스 관계자는 ""게임 토큰은 네이티브 코인 XPLA로 교환해 게임 외부에서도 활용할 수 있어 이용자 소유권이 강화됐다""고 설명했다. 발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write
]"
2022-11-09,"블록체인 인프라 스타트업 a41, 21억 추가 투자 유치…시드 투자 150억 클로징",https://n.news.naver.com/mnews/article/009/0005042187?sid=105,"[
- 인터베스트, 베이스인베스트먼트 참여… 투자 누적금 150억 달해



에이포엑스 a41블록체인 인프라 스타트업 에이포엑스(이하 a41)는 인터베스트, 베이스인베스트먼트로부터 21억 원을 추가 투자 유치했다고 9일 밝혔다.이번 투자를 통해 a41은 시드(초기) 단계 투자에서 총 150억 원의 투자를 이끌어냈다. a41은 지난 9월 SK주식회사, DSC인베스트먼트, 슈미트, KB인베스트먼트, 스프링캠프 등으로부터 129억 원을 유치했다.a41은 블록체인 산업의 기초에 집중하며 블록체인 업계의 ‘린치핀’으로 주목받고 있다. a41은 블록체인 인프라 스타트업으로, 다양한 서비스를 제공하고 있다. 밸리데이터(검증인) 사업과 서비스형 거버넌스(Governance-as-a-Service), 리서치 콘텐츠, 프로덕트 개발 등이다.a41은 이번 투자 유치를 통해 블록체인 인프라 기업으로서 글로벌 진출을 위한 교두보를 확보할 계획이다. a41은 현재 밸리데이터 사업부의 역량 고도화에 힘쓰는 한편, 블록체인 산업 전반에 대한 리서치를 수행하고 콘텐츠화하고 있다. 향후 밸리데이터 외 인프라 사업 내 다양한 영역 확장과 리서치 인력 확충, 프로덕트 개발 등에 박차를 가한다는 방침이다.이번 투자에 참여한 이호건 인터베스트 수석심사역은 “아직 밸리데이터가 트랜잭션 ‘검증’에만 초점을 맞추고 있지만 거버넌스와 디파이 분야로도 확장해 나갈 것이라 믿는다”며 “a41은 탄탄한 사업 개발과 리서치 역량을 갖춘 만큼 밸리데이터를 넘어 웹 3.0 산업의 성장을 다방면에서 지원하는 기업으로 성장할 것으로 기대된다”고 말했다.이무영 베이스인베스트먼트 이사는 “a41는 크립토 업계 최고 수준의 ‘맨파워’를 보유한 팀”이라며 “밸리데이터 사업을 본격적으로 전개해 팀의 역량과 진정성을 십분 발휘할 수 있을 것이라 확신한다. 웹 3.0 비전을 현실로 만들고 있는 a41과 함께하게 되어 영광”이라고 전했다.박광성 a41 대표는 “크립토 윈터(crypto winter, 가상자산 혹한기)가 지속되고 있어 힘든 시기이지만, 금번 시드 투자 유치에 안주하지 않고 밸리데이터 사업 확장과 신사업 발굴을 통해 글로벌 블록체인 인프라 기업으로 발돋움하겠다”고 말했다.한편 a41은 최근 앱토스에 밸리데이터로 참여하기 시작하며 멀티체인 생태계 속 밸리데이터로 나아가고자 하는 기조를 확립했다. 앱토스는 메타(옛 페이스북)의 암호화폐 프로젝트 ’디엠(전 리브라)’으로부터 파생된 메인넷이다. 이 외에도 a41은 현재 채용을 진행 중이며, 채용 솔루션 그리팅 내 a41 채용 페이지를 통해 지원 가능하다.
]"
2022-11-08,안랩블록체인컴퍼니 '드림플러스 블록체인 해커톤' 행사 참가,https://n.news.naver.com/mnews/article/421/0006443610?sid=105,"[




안랩블록체인컴퍼니 로고 (안랩 제공)(서울=뉴스1) 오현주 기자 = 보안기업 안랩은 블록체인 자회사 안랩블록체인컴퍼니가 오는 25일부터 27일까지 열리 '드림플러스 블록체인 해커톤 행사 2022'에 공식 파트너로 참가한다고 8일 밝혔다. '드림플러스 블록체인 해커톤' 행사는 지난 2020년부터 △블록체인 아이디어 발굴 △인재 양성 △취업 지원을 위해 진행된 프로그램이다. 서울 서초구 '한화생명 드림플러스 강남'에서 열리는 올해 행사는 △대체불가능토큰(NFT) △탈중앙화 자율조직(DAO) △게임 △보안을 포함한 네 가지 주제로 구성된다. 안랩블록체인컴퍼니는 이번 행사에서 '보안'을 주제로 잡고 △본선 진출 팀에 2박 3일간 전담 멘토링 △본선 진출 팀이 개발한 서비스모델에 대한 평가 및 심사 △우수 팀에 대한 채용 기회 제공 △최우수상 팀과 스폰서상 수상팀 상금 일부 지원 등 블록체인 인재 육성을 위한 다양한 활동을 펼친다.이번 해커톤은 대학생과 일반인 모두 참여할 수 있고, 1인 이상의 개발자가 포함된 4인 구성의 팀으로만 지원 가능하다. 참가를 원하면 이달 10일까지 드림플러스 홈페이지 공모 페이지에 기획안과 소개 영상을 제출하면 된다.임주영 안랩블록체인컴퍼니 이사는 ""이번 드림플러스 블록체인 해커톤에 멘토로 참여해 블록체인 기술과 산업을 함께 이끌어갈 다양한 인재의 성장에 도움을 줄 수 있을 것으로 기대한다""며 ""이후에도 블록체인 인재 성장을 지원하는 다양한 활동에 꾸준히 참가할 계획""이라고 말했다.
		]"
2022-11-07,"로그인도 필요 없다… 블록체인랩스, 해킹 없는 메신저 '블록챗' 출시",https://n.news.naver.com/mnews/article/417/0000866886?sid=105,"[




전자 예방 접종 증명 시스템 '쿠브'(COOV)를 개발한 블록체인랩스가 이번엔 중앙 서버 없는 무료 메신저 서비스 '블록챗'을 7일 선보였다. /사진=블록체인랩스  블록체인랩스가 중앙 서버 없는 무료 메신저 서비스 '블록챗'을 선보이고 국내 메신저 시장의 새로운 장을 열었다. 블록챗은 기존 메신저와 달리 사용자 개인정보를 중앙 서버에 저장할 필요가 없어 사이버 범죄로부터 사용자를 보호할 수 있다. 블록체인랩스는 7일 서울 소공동 롯데호텔에서 기자간담회를 열고 블록챗을 애플 애플리케이션(앱)마켓 '앱스토어'에 출시했다고 전했다. 구글 앱마켓 '플레이스토어'엔 이달 내 선보일 예정이다. 기존 메신저 서비스는 개인 정보와 대화 내용이 저장되는 중앙 서버를 사용하지만 블록챗은 웹 3.0 시대를 이끄는 탈중앙화된 블록체인 기술을 이용한다. 별도의 회원 가입이나 로그인 없이 사용할 수 있어 어떠한 개인 정보도 필요 없다. 메시지 내용은 중앙 서버가 아닌 개인 디바이스에만 저장된다. 중간 전달자가 없기 때문에 일상과 가장 유사한 대화가 가능하고 본인의 인지 없이 무분별하게 이용되던 개인 정보에 대한 소유권을 되찾을 수 있다.블록챗의 대화는 중앙 서버가 아닌 개인 디바이스에만 저장돼 당사자들 외에 누구도 그 내용을 확인할 수 없다. 암호화 기술을 적용해 전송 중에 발생할 수 있는 외부 노출에 대한 위험도 차단한다. 특히 중앙 서버 해킹으로 인한 개인 정보 및 대화 내용 유출이나 통신 장애, 데이터 유실 등 사고로부터 안전하다.블록챗은 기존 메신저 서비스의 로그인 방식과 달리 개인 정보 입력 없이 사용자의 디바이스에 고유의 블록체인 ID를 생성한다. 따라서 회원 가입을 통해 수집한 개인 정보를 이용하는 메신저 기업으로부터의 원하지 않는 광고에서 해방된다. 연락처나 ID 노출에 따른 무분별한 연동이나 친구 추천, 이에 따른 사생활 침해도 예방할 수 있다. 사용자는 신원이 확인된 상대방에게 고유의 연결 코드를 공유해 대화를 시작한다. 블록체인 ID와 연결 코드는 사용자가 대화를 원하는 사람 외에 그 누구에게도 노출되지 않아 'N번방 사건'과 같은 노출된 ID를 이용한 익명의 사이버 범죄를 예방할 수 있다.임병완 블록체인랩스 대표는 ""현존하는 메신저 서비스들은 메신저 기업이 사용자의 정보를 이용해 광고로 많은 수익을 올리고 있어 결코 공짜가 아니다""며 ""개인 정보에 대한 의식이 점차 높아지고 있는 지금 무분별한 연락처 연동, 원치 않는 광고 노출, 메신저 대화 악용 등으로 피로감을 느끼고 있는 사용자들이 블록챗을 통해 개인 정보의 주권을 되찾길 바란다""라고 말했다.블록체인랩스는 앞서 4300만명이 사용하는 세계 최초 신종 코로나바이러스 감염증(코로나19) 백신 패스 '쿠브'(COOV)를 통해 블록체인 기술을 검증받았다. 
]"
2022-11-09,"블록체인 인프라 에이포엑스, 21억 추가 시드투자 유치…누적 150억",https://n.news.naver.com/mnews/article/008/0004815758?sid=101,"[




블록체인 인프라 스타트업 에이포엑스(이하 a41)가 인터베스트, 베이스인베스트먼트로부터 21억원을 추가 투자 유치했다고 9일 밝혔다.앞서 에이포엑스는 지난 9월 SK, DSC인베스트먼트, 슈미트, KB인베스트먼트, 스프링캠프 등으로부터 129억원을 유치해 누적으로 시드(초기) 투자 유치금액은 총 150억원이다. 에이포엑스는 블록체인 산업의 기초에 집중하며  밸리데이터(검증인) 사업과 서비스형 거버넌스(Governance-as-a-Service), 리서치 콘텐츠, 프로덕트 개발 등의 서비스를 제공한다. 이번 투자 유치로 에이포엑스는 글로벌 진출을 위한 교두보를 확보한다는 계획이다. 에이포엑스는 현재 밸리데이터 사업부의 역량 고도화에 힘쓰는 한편, 블록체인 산업 전반에 대한 리서치를 수행하고 콘텐츠화하고 있다. 앞으로 밸리데이터 외 인프라 사업 내 다양한 영역 확장과 리서치 인력 확충, 프로덕트 개발 등에 박차를 가할 계획이다.이번 투자에 참여한 이호건 인터베스트 수석심사역은 ""아직 밸리데이터가 트랜잭션 '검증'에만 초점을 맞추고 있지만 거버넌스와 디파이 분야로도 확장해 나갈 것이라 믿는다""며 ""에이포엑스는 탄탄한 사업 개발과 리서치 역량을 갖춘 만큼 밸리데이터를 넘어 웹 3.0 산업의 성장을 다방면에서 지원하는 기업으로 성장할 것으로 기대한다""고 말했다.이무영 베이스인베스트먼트 이사는 ""에이포엑스는 크립토 업계 최고 수준의 '맨파워'를 보유한 팀""이라며 ""밸리데이터 사업을 본격적으로 전개해 팀의 역량과 진정성을 십분 발휘할 수 있을 것이라 확신한다. 웹 3.0 비전을 현실로 만들고 있는 에이포엑스와 함께하게 되어 영광""이라고 전했다.박광성 에이포엑스는 대표는 ""크립토 윈터(가상자산 혹한기)가 지속되고 있어 힘든 시기지만, 밸리데이터 사업 확장과 신사업 발굴을 통해 글로벌 블록체인 인프라 기업으로 발돋움하겠다""고 말했다.한편 에이포엑스는 현재 채용을 진행 중이다. 채용 솔루션 그리팅 내 에이포엑스 채용 페이지를 통해 지원 가능하다.[머니투데이 스타트업 미디어 플랫폼 '유니콘팩토리']
]"
2022-11-09,"위메이드-DRX, 이스포츠 블록체인 연계 파트너십 MOU",https://n.news.naver.com/mnews/article/092/0002273192?sid=105,"[
새로운 시장과 사업 기회를 함께 탐구하고 협력위메이드(대표 장현국)는 DRX(대표 최상인)와 이스포츠-블록체인 연계 파트너십을 위한 MOU를 체결했다.DRX는 글로벌 대표 이스포츠 기업 중 하나이며, 현재 업계 1위인 리그 오브 레전드(LoL)을 비롯해 발로란트, 워크래프트3, 철권7 등 4개 팀을 운영하고 있다. DRX 발로란트 팀은 102연승이라는 전무후무한 기록을 보유하고 있고, 국내에서 독보적 1위 팀으로 평가받고 있다. 워크래프트 3 팀에는 압도적 실력을 가진 DRX Moon이, 철권 7 팀에는 통산 100회 우승을 달성한 DRX Knee가 소속되어 있다.DRX LoL 팀의 올 시즌은 ‘소년 만화’라고 해도 좋을 정도로 드라마틱했다. LCK 4번 시드로 진출했지만, 역대 최초로 플레이-인 스테이지부터 모든 라운드를 거치며 파이널까지 올랐다. DRX는 유력한 우승 후보들을 하나하나 꺾었고, 지난 6일(한국시간) ‘2022 LoL 월드 챔피언십’(롤드컵) 결승전에서는 정상급 팀 T1과의 접전 끝에 3대 2로 세계 챔피언에 올랐다.



위메이드, DRX와 전략적 파트너십 체결.이스포츠와 블록체인에서 선도자의 위치에 있는 DRX와 위메이드는 새로운 시장과 사업 기회를 함께 탐구하고 협력하기로 했다.최상인 DRX 대표는 “DRX와 위메이드 양사의 축적된 데이터와 글로벌 네트워크를 바탕으로 함께 성장할 것을 기대한다”고 전했다.장현국 위메이드 대표는 ""이스포츠는 미래지향적으로 계속 진화해 나가고 있다는 점에서 블록체인과 가장 잘 어울리는 스포츠""라며 “이스포츠를 선도하고 있는 DRX와 함께 스포츠 분야의 새로운 디지털 이코노미에 도전할 것”이라고 덧붙였다.위메이드는 지난 달 말 자체 메인넷 위믹스3.0을 성공적으로 오픈했다. 국내외 여러 기업 및 프로젝트들과 협업하는 광폭 행보를 계속하고 있으며, 특히 최근에는 마이크로소프트, 신한자산운용, 키움증권으로부터 660억 원 규모의 투자를 유치했다.
]"
2022-11-09,"[미래기술25] 블록체인, 이젠 기후변화와 싸운다고?",https://n.news.naver.com/mnews/article/018/0005362107?sid=105,"[
블록체인 A to Z많은 컴퓨터에 걸쳐 거래 기록하는 데 쓰는 디지털 장부블록체인 시장 매년 68%씩 커져…웹3 핵심트랜잭션 검증에 많은 전력 필요한 단점도이더리움 '머지' 업그레이드, 친환경적 검증 방식 전환[이데일리 김국배 기자]블록체인 기술은 인터넷의 초기 단계에 비유되곤 합니다. 앞으로 10년이 걸릴지, 15년이 걸릴지 예측하기는 어렵겠지만 인터넷와 마찬가지로 세상을 변화시킬 것이라는 기대 때문입니다. 과장된 시각이라는 비판과 에너지 문제 등 장애물도 없진 않지만 그만큼 기술 잠재력을 높게 평가받는 것입니다. 현재 암호화폐에 많이 활용되는 블록체인은 향후 다양한 애플리케이션으로 활용 범위를 계속 넓혀갈 전망입니다.&lt;편집자주&gt;



블록체인은 흔히 암호화폐를 존재하게 만드는 기술로 정의됩니다. 비트코인은 블록체인으로부터 나온 가장 잘 알려진 암호화폐죠. 하지만 그게 블록체인의 전부는 아닙니다. 암호화폐 거래를 용이하게 만들기 위해 개발된 블록체인은 기능이 점차 확장되고 있습니다. 이제는 대체불가토큰(NFT) 소유권을 기록하는가 하면, 공급망 추적도 가능하게 합니다. 투표 시스템 관리에 쓸 수도 있고요. 다만 에너지 문제 등 장애물도 있습니다. 비트코인 네트워크의 경우 대도시만큼 탄소를 배출한다는 비판을 받고 있거든요.성장 잠재력은 높습니다. 시장조사업체 마켓앤마켓에 따르면 블록체인 시장은 지난해 49억달러에서 오는 2026년 674억 달러 규모로 연평균 68.4%씩 성장할 전망입니다. 아직 ‘틈새 기술’로 평가되면서도 앞으로를 기대하게 만드는 기술. 그게 바로 블록체인입니다.



(사진=픽사베이)데이터 변조 가능성 적어 안전…웹 3.0 핵심조금 더 자세히 알아볼까요. 블록체인은 기본적으로 데이터를 저장하는 ‘분산형 디지털 원장’입니다. 2008년 사토시 나카모토(Satoshi Nakamoto)가 비트코인의 공개 거래 원장 역할로 만들어 냈습니다.새로운 데이터가 네트워크에 주기적으로 추가되며 새로운 ‘블록’이 생성되고 ‘체인’으로 연결되죠. 엑셀이나 은행 데이터베이스가 중앙 집중식으로 관리되는 것과 달리 블록체인 데이터베이스는 동일한 복사본을 네트워크 전체에 분산된 여러 컴퓨터에서 보관합니다. 이런 개별 컴퓨터를 ‘노드’라 부릅니다. 노드는 트랜잭션을 처리하기 위해 복잡한 수학 방정식을 풀어야 합니다. 다른 말로 하면 ‘채굴’, 즉 거래 검증 작업입니다.블록체인이 안전하다고 간주되는 이유도 이런 블록 생성 방식에 기인합니다. 새 블록이 원장에 추가되기 전 대부분의 노드가 데이터의 ‘합법성’을 확인하니까요. 악의적인 행위자가 데이터를 변조할 가능성은 떨어질 수밖에 없습니다. 쉽게 말해 많은 컴퓨터에 걸쳐 거래를 기록하는 데 쓰는 분산된 디지털 장부가 블록체인입니다.블록체인은 암호화폐 거래를 넘어 수확부터 소비까지 식품 정보를 추적하는 공급망 모니터링이나 해외 송금 등 다양한 목적으로 활용될 수 있습니다. 블록체인은 ‘연중무휴’로 운영되기 때문에 송금을 위해 며칠을 기다릴 필요도 없습니다.특히 블록체인은 웹 3.0의 핵심 기술로 불립니다. 웹 3.0은 ‘읽기’만 가능했던 웹 1.0, ‘읽기·쓰기’가 가능한 오늘날의 인터넷인 웹 2.0에 이어 ‘소유’의 개념이 더해진 새로운 패러다임입니다. 사용자들이 생산한 데이터가 구글, 네이버 같은 플랫폼 기업이 소유하는 웹 2.0과 달리 웹 3.0은 사용자가 콘텐츠 소유권을 갖습니다. 여기엔 블록체인 기술과 암호화폐가 필수로 여겨지고요.비트코인 초당 4.6개 트랜잭션만 처리…탄소 배출 부담도물론 단점도 없지 않습니다. 트랜잭션 수가 증가하면 네트워크 속도 문제가 발생할 수 있다는 것입니다. 예컨대 비트코인은 초당 4.6개의 트랜잭션만 처리할 수 있지만 비자의 경우 초당 1700개를 처리할 수 있죠. 확장성을 위해선 초당 트랜잭션 제한 문제가 개선돼야 합니다.에너지 비용도 문제입니다. 트랜잭션을 확인하기 위해 모든 노드가 작동해야 하는 만큼 더 많은 전력이 필요하기 때문입니다. 이는 블록체인 기반 거래 비용을 높일 뿐 아니라 탄소 배출로 환경에 부담을 주게 됩니다. 최근 이더리움이 ‘머지’라 불리는 업그레이드로 주목받은 것도 이런 배경과 연관이 있습니다.2013년 비탈릭 부테린에 의해 만들어진 이더리움은 비트코인과 마찬가지로 ‘지분증명(PoS)’이 아닌 ‘작업증명(PoW)’ 방식으로 실행돼왔습니다. 여기서 PoW나 PoS는 사용자가 새로운 암호화폐 거래를 블록체인 네트워크에 기록·유지할 수 있도록 하는 알고리즘이라고 생각하면 됩니다. PoW 방식은 에너지 집약적인 과정이 필요합니다. 트랜잭션을 검증하기 위해 엄청난 양의 컴퓨팅 성능을 사용해 수학적 문제를 해결해야 하니까요. 실제로 이더리움이 배출하는 탄소 배출량이 싱가포르, 핀란드 등과 비슷하다는 말이 나올 정도입니다. 그랬던 이더리움을 보다 친환경적인 방식으로 알려진 PoS로 전환한 것이 머지 업그레이드입니다. “짧은 암호화폐 역사에서 가장 중요한 순간 중 하나”라는 평가가 나올만 합니다. PoS는 트랜잭션을 검증하는 사용자가 블록체인에 새로운 트랜잭션을 기록할 수 있는 권리를 얻기 위해 이더리움을 스테이킹해야 합니다.참고로 이더리움이 PoS 방식으로 전환하면서, 도지코인이 비트코인 다음으로 큰 PoW 방식의 블록체인이 됐다고 합니다. 물론 이 두 개 외에도 에너지 소모가 많은 오래된 시스템을 사용하는 블록체인은 여전히 많이 남아 있습니다. 이더리움의 업그레이드가 모든 블록체인의 환경 문제를 해결하는 것은 아니라는 얘기입니다. 이더리움 진영의 주장대로 친환경적인지 검증하는 데도 시간이 걸릴 것입니다.
]"
2022-11-08,부산 '블록체인 기반 자원봉사은행' 설립 속도,https://n.news.naver.com/mnews/article/011/0004119815?sid=102,"[
시범 운영후 내달 용역 최종보고회연구결과 토대로 내년 플랫폼 구축신중년 사회공헌활동 활성화 기대



부산시 자원봉사은행 운영안. 자료 제공=부산시[서울경제] 박형준 부산시장의 공약인 ‘블록체인 기반 자원봉사은행’ 설립이 속도를 내고 있다. 광역자치단체에서는 최초로 시행되는 것으로 포인트 적립을 통해 개인 간 자원봉사를 주고 받아 중장년 고립을 예방하고 신중년의 사회 참여를 확대하는 새로운 모델로 자리잡을 전망이다.8일 부산시에 따르면 시는 이날 시청에서 ‘블록체인 기반 자원봉사은행 연구용역 중간 보고회’를 열어 진행 상황을 점검하고 과업 내용과 추진 방법 등에 관한 전문가의 다양한 의견을 수렴했다. 시는 올해 말까지 시범 운영을 거친 뒤 최종 보고회를 개최하고 해당 연구 결과를 토대로 한 자원봉사은행 플랫폼을 내년에 구축할 계획이다.이번 용역은 자원봉사은행 비전과 중장기 로드맵을 수립하고 자원봉사은행 모델 개발을 위해 지난 6월 시작됐다. 최종 보고서에는 자원봉사은행 기본계획과 블록체인 기반 자원봉사은행 운영 방안, 자원봉사의 질적 도약과 혁신 성과 확산 방안 등이 담길 예정이다.자원봉사은행(timebank)은 기존 자원봉사센터를 중심으로 하는 일방통행식 봉사활동에서 벗어나 자원봉사 시간을 포인트로 저축해 필요할 때 이를 화폐처럼 지불하고 도움받는 방식으로 운영된다. 부산시는 여기에 투명성과 신뢰성, 보안성이 확보되는 블록체인 기술을 접목한다. 어르신 돌봄, 등하원 도우미, 집수리 등을 통해 적립된 포인트는 공적 서비스나 다른 시민에게 봉사활동을 요청할 때 사용할 수 있다.시는 이를 통해 봉사자와 수혜자간 상호 공익적이고 호혜적인 봉사가 가능할 것으로 내다보고 있다. 특히 신중년의 경험과 경력을 활용한 사회공헌활동이 활성화되면서 신중년 세대의 성장동력을 강화할 수 있을 것으로도 기대된다. 새로운 사회 문제로 떠오르고 있는 은둔형 외톨이, 노인 소외 등의 해결에도 도움을 줄 수 있을 전망이다.부산시의 한 관계자는 “자원봉사은행에 블록체인 기술을 접목하면 사회복지 정책에 투명성과 보안성을 획기적으로 강화하는 이정표가 될 것”이라며 “체계적인 연구를 통해 자원봉사·블록체인 전문가들의 제안 의견을 적극적으로 수렴해 자원봉사은행 설립·운영 계획이 실효성 있게 수립될 수 있도록 만전을 기하겠다”고 말했다.
]"
