Date,Open,High,Low,Close,Volume,Change
2021-11-12,23200,23950,22800,22850,195075,0.00439560439560438
2021-11-15,23000,24850,22950,24700,498074,0.08096280087527363
2021-11-16,24500,26900,24200,25900,1211016,0.04858299595141702
2021-11-17,26100,29300,25600,28250,2864143,0.09073359073359066
2021-11-18,28600,31100,26750,29300,1971025,0.03716814159292037
2021-11-19,29300,32200,27900,30650,2202147,0.04607508532423199
2021-11-22,30100,31450,27150,27650,1009818,-0.0978792822185971
2021-11-23,27000,28250,26200,26700,469083,-0.03435804701627487
2021-11-24,26700,28050,26200,27600,472282,0.03370786516853941
2021-11-25,27700,28500,27200,27450,350015,-0.005434782608695676
2021-11-26,27450,27500,25900,26150,364045,-0.04735883424408016
2021-11-29,25000,25500,23450,23850,551995,-0.08795411089866156
2021-11-30,24500,24950,23650,23800,369291,-0.002096436058700246
2021-12-01,23800,24200,22050,23800,400856,0.0
2021-12-02,23100,24000,22800,23300,223302,-0.021008403361344574
2021-12-03,23500,24950,23250,24800,266795,0.06437768240343344
2021-12-06,24700,24750,23650,23950,158959,-0.03427419354838712
2021-12-07,24150,24450,23000,23350,169141,-0.025052192066805867
2021-12-08,23700,24050,23450,23450,136885,0.004282655246252709
2021-12-09,23950,24850,23700,23750,230473,0.01279317697228155
2021-12-10,23750,24550,23550,23850,239571,0.004210526315789442
2021-12-13,24200,24300,23500,23750,194819,-0.004192872117400381
2021-12-14,23800,23800,22550,22950,236195,-0.03368421052631576
2021-12-15,22800,23000,22200,22300,142518,-0.028322440087146017
2021-12-16,22450,22850,21650,21800,229045,-0.022421524663677084
2021-12-17,21650,21750,20950,21100,170187,-0.032110091743119296
2021-12-20,21100,21850,20650,20650,146153,-0.021327014218009532
2021-12-21,20650,21100,20100,21000,108360,0.016949152542372836
2021-12-22,21600,21900,21250,21450,138533,0.021428571428571352
2021-12-23,21750,22150,21450,21450,109777,0.0
2021-12-24,21750,21750,21300,21500,70332,0.002331002331002363
2021-12-27,21550,21600,20950,21050,73380,-0.020930232558139528
2021-12-28,21250,21900,20950,21900,112571,0.040380047505938155
2021-12-29,21800,23250,21600,22400,466993,0.022831050228310446
2021-12-30,22450,22950,22200,22800,145331,0.017857142857142794
2022-01-03,23050,23050,22550,22600,92234,-0.00877192982456143
2022-01-04,22650,22800,22200,22550,73437,-0.0022123893805309214
2022-01-05,22300,22450,21450,21450,110069,-0.04878048780487809
2022-01-06,20750,21300,20550,20550,103895,-0.04195804195804198
2022-01-07,20600,21400,20600,21100,54000,0.02676399026763998
2022-01-10,20900,21150,20400,20800,61606,-0.014218009478673022
2022-01-11,20600,20950,19750,20200,97370,-0.028846153846153855
2022-01-12,20300,20900,20300,20700,66334,0.024752475247524774
2022-01-13,20700,21500,20650,21350,99581,0.0314009661835748
2022-01-14,20750,21400,20650,21300,87255,-0.0023419203747072626
2022-01-17,21550,21550,20550,20750,53809,-0.025821596244131495
2022-01-18,20600,21200,19950,20100,60820,-0.031325301204819245
2022-01-19,19650,20250,19000,19450,82085,-0.03233830845771146
2022-01-20,19450,20300,19200,20250,74124,0.041131105398457546
2022-01-21,20000,21100,19900,20300,130813,0.0024691358024691024
2022-01-24,20000,20100,18850,19100,104949,-0.059113300492610876
2022-01-25,19100,19350,17350,17400,160924,-0.08900523560209428
2022-01-26,17200,17700,16950,17300,88388,-0.005747126436781658
2022-01-27,17200,17700,16450,16650,120076,-0.037572254335260125
2022-01-28,16650,17500,16100,17200,89401,0.033033033033033066
2022-02-03,17700,18200,17350,17900,79027,0.04069767441860472
2022-02-04,17550,18250,17450,18250,53626,0.019553072625698276
2022-02-07,18400,18650,18000,18300,48722,0.00273972602739736
2022-02-08,18500,18500,17450,17850,54741,-0.024590163934426257
2022-02-09,17950,18150,17800,18050,35742,0.011204481792717047
2022-02-10,18450,19200,17700,18000,160589,-0.0027700831024930483
2022-02-11,17750,17900,17350,17500,30417,-0.02777777777777779
2022-02-14,17200,17300,15950,16500,124042,-0.05714285714285716
2022-02-15,16400,16700,15900,16150,54369,-0.021212121212121238
2022-02-16,16400,17350,16400,17350,76652,0.07430340557275539
2022-02-17,17050,17850,16600,17000,87995,-0.02017291066282423
2022-02-18,16600,17800,16550,17450,42739,0.026470588235294024
2022-02-21,17100,18300,16300,17650,79550,0.011461318051575908
2022-02-22,17000,17500,16800,16850,59313,-0.04532577903682722
2022-02-23,17000,17100,16700,16850,38615,0.0
2022-02-24,16600,16800,15850,16000,74452,-0.05044510385756673
2022-02-25,16500,16650,16150,16450,38839,0.028124999999999956
2022-02-28,16300,17000,16200,17000,42086,0.033434650455927084
2022-03-02,17350,17550,16800,17350,59282,0.020588235294117574
2022-03-03,17350,17650,17300,17550,37919,0.011527377521613813
2022-03-04,17400,17500,16950,17150,29200,-0.022792022792022748
2022-03-07,16900,16900,16400,16650,44516,-0.029154518950437303
2022-03-08,16150,16400,16050,16250,36230,-0.024024024024024038
2022-03-10,16500,16800,16250,16350,42206,0.006153846153846176
2022-03-11,16450,16700,16150,16400,48883,0.003058103975535076
2022-03-14,16400,16400,15700,15850,52318,-0.03353658536585369
2022-03-15,15700,15850,15400,15600,29638,-0.01577287066246058
2022-03-16,15850,16000,15600,15950,61178,0.022435897435897356
2022-03-17,16400,20700,16400,20700,2595938,0.29780564263322895
2022-03-18,21900,22400,21200,22050,3269204,0.0652173913043479
2022-03-21,21950,22600,21700,22550,1038516,0.0226757369614512
2022-03-22,22100,23600,21450,22200,1747632,-0.01552106430155209
2022-03-23,22650,25750,22400,23350,4128144,0.05180180180180183
2022-03-24,23350,23800,23000,23300,590092,-0.0021413276231263545
2022-03-25,24250,26650,23700,24300,3723382,0.0429184549356223
2022-03-28,24650,24850,24300,24700,487846,0.016460905349794164
2022-03-29,24850,24850,23300,23300,394701,-0.05668016194331982
2022-03-30,23400,24700,22900,23100,561196,-0.008583690987124415
2022-03-31,23000,23700,22700,23600,227712,0.02164502164502169
2022-04-01,23300,23300,22500,22500,177277,-0.04661016949152541
2022-04-04,22900,23550,22650,23100,255602,0.026666666666666616
2022-04-05,24350,24700,23250,23300,529595,0.008658008658008587
2022-04-06,23050,23100,22500,22600,137042,-0.030042918454935674
2022-04-07,22600,22650,21550,21600,151643,-0.04424778761061943
2022-04-08,21800,22000,21100,21900,132117,0.01388888888888884
2022-04-11,21900,21900,20850,20900,104626,-0.045662100456621
2022-04-12,20550,20950,20150,20600,82177,-0.014354066985645897
2022-04-13,20600,21000,20500,20900,68176,0.014563106796116498
2022-04-14,21000,21250,20900,20950,70697,0.0023923444976077235
2022-04-15,20800,21150,20550,21100,55856,0.007159904534606243
2022-04-18,21100,21800,21100,21100,123415,0.0
2022-04-19,21100,22200,21050,21850,215468,0.035545023696682554
2022-04-20,21950,21950,21050,21200,107693,-0.029748283752860427
2022-04-21,20950,21000,20600,20700,94279,-0.02358490566037741
2022-04-22,20400,20900,20200,20200,83312,-0.024154589371980673
2022-04-25,19750,19900,19150,19150,117267,-0.051980198019802026
2022-04-26,19650,19700,19200,19400,57827,0.01305483028720622
