Date,Open,High,Low,Close,Volume,Change
2021-11-12,29828,30379,28333,28530,708920,-0.03848746292801297
2021-11-15,28805,29355,28215,29357,487063,0.02898703119523316
2021-11-16,29474,30655,29238,30655,1016795,0.044214327077017446
2021-11-17,30969,34865,30694,33213,5577713,0.08344478877833961
2021-11-18,33605,34275,30733,32583,1910411,-0.01896847619907871
2021-11-19,32583,34235,31717,32190,1155710,-0.01206150446551879
2021-11-22,32150,32150,29120,29120,913463,-0.09537123330226782
2021-11-23,28333,29513,27703,28333,419672,-0.02702609890109886
2021-11-24,28293,28962,27152,28530,418549,0.006953022976740941
2021-11-25,28726,30497,28608,30458,631822,0.06757798808271986
2021-11-26,30733,32504,29395,30970,1454556,0.016810033488738663
2021-11-29,29552,31677,28687,29199,657455,-0.05718437197287696
2021-11-30,29355,30379,27860,27979,563806,-0.04178225281687731
2021-12-01,28884,29316,27191,28373,503969,0.01408199006397659
2021-12-02,27703,28254,26364,26602,551658,-0.0624184964579001
2021-12-03,27034,27545,26640,27153,286109,0.020712728366288236
2021-12-06,26759,26876,25893,25973,316595,-0.04345744484955627
2021-12-07,26286,26680,25302,25539,276622,-0.01670966003157126
2021-12-08,25854,26247,25342,25382,229830,-0.006147460746309563
2021-12-09,25893,26562,25539,25736,321061,0.01394689149791195
2021-12-10,25893,25893,25185,25343,236365,-0.015270438296549615
2021-12-13,25775,27034,25105,26641,601194,0.05121729866235247
2021-12-14,27034,27310,26090,26208,372800,-0.016253143650763913
2021-12-15,26168,26522,25539,25539,173890,-0.025526556776556797
2021-12-16,25893,26444,25539,25539,193744,0.0
2021-12-17,25539,25814,25342,25422,103285,-0.004581228709033214
2021-12-20,25420,25971,24948,24949,163675,-0.018605931870033787
2021-12-21,24909,25185,24043,24438,227218,-0.020481782836987428
2021-12-22,24673,25066,24437,24753,186089,0.012889761846304859
2021-12-23,25027,26325,24909,25658,462017,0.036561224902032174
2021-12-24,26129,26129,25617,25893,175243,0.009158936783849159
2021-12-27,25775,25893,25302,25539,137058,-0.013671648708145079
2021-12-28,25539,25578,24948,25264,243656,-0.010767845256274722
2021-12-29,25539,27073,25342,26248,794729,0.03894870170994302
2021-12-30,26325,27191,26208,26878,355315,0.024001828710758843
2022-01-03,26916,27584,26876,27074,240202,0.007292209241759107
2022-01-04,27270,28333,27270,27625,436822,0.02035162886902553
2022-01-05,27742,28135,26640,26878,343891,-0.027040723981900494
2022-01-06,26050,26719,25184,25422,345938,-0.054170697224495856
2022-01-07,25696,26090,25420,26012,126026,0.023208244827314983
2022-01-10,27230,27310,25853,26523,313330,0.01964477933261577
2022-01-11,26680,26759,25420,25578,254279,-0.03562945368171022
2022-01-12,25696,25971,25539,25736,73945,0.006177183517084961
2022-01-13,25696,26365,25105,25578,222578,-0.006139260180292205
2022-01-14,25342,25500,24634,24753,195578,-0.03225428102275396
2022-01-17,24594,24673,23689,23808,210235,-0.0381771906435584
2022-01-18,23768,24004,22626,22628,460157,-0.04956317204301075
2022-01-19,22430,23020,22272,22745,183076,0.00517058511578572
2022-01-20,22823,23335,22745,23336,135452,0.02598373268850307
2022-01-21,23177,23846,22980,23533,144013,0.008441892355159464
2022-01-24,23531,23531,22155,22391,159936,-0.04852759954107
2022-01-25,22390,22626,21210,21408,188640,-0.04390156759412267
2022-01-26,21210,21800,21092,21526,110381,0.005511958146487306
2022-01-27,21525,21643,19950,20227,273592,-0.060345628542228025
2022-01-28,20265,21013,20030,20818,135889,0.029218371483660466
2022-02-03,21485,21682,21131,21250,133457,0.020751272936881504
2022-02-04,21131,22075,20855,22077,99032,0.0389176470588235
2022-02-07,22075,22312,21643,22155,74765,0.0035330887348825613
2022-02-08,22155,22312,21643,21762,104624,-0.01773865944482056
2022-02-09,22036,22311,21800,22077,62299,0.014474772539288638
2022-02-10,22351,23099,21879,21880,172627,-0.008923313856049275
2022-02-11,21367,21760,21250,21328,97087,-0.02522851919561242
2022-02-14,20501,20816,20187,20423,115166,-0.042432483120780184
2022-02-15,20187,20698,19833,20030,108731,-0.019243010331489008
2022-02-16,20304,20659,19833,20384,169585,0.01767348976535188
