Date,Open,High,Low,Close,Volume,Change
2021-11-12,10950,11800,10500,11200,2277513,0.02752293577981657
2021-11-15,11350,12200,11050,12150,1976989,0.0848214285714286
2021-11-16,11950,12400,11950,12100,761376,-0.004115226337448541
2021-11-17,12000,12800,11900,12800,986834,0.05785123966942152
2021-11-18,12750,13550,12650,13350,1339798,0.04296875
2021-11-19,13000,13550,12950,13350,581575,0.0
2021-11-22,13000,13200,12350,12550,563400,-0.05992509363295884
2021-11-23,12350,12850,12200,12550,374776,0.0
2021-11-24,12550,12750,12250,12650,237463,0.007968127490039834
2021-11-25,12800,13200,12450,12650,565796,0.0
2021-11-26,12600,12650,11600,11800,677319,-0.06719367588932801
2021-11-29,11250,11750,11200,11550,523988,-0.021186440677966156
2021-11-30,11650,11750,10700,11200,662137,-0.030303030303030276
2021-12-01,11200,12100,10550,12000,482770,0.0714285714285714
2021-12-02,11500,11900,11400,11800,312441,-0.01666666666666672
2021-12-03,11850,11950,11650,11850,220088,0.004237288135593209
2021-12-06,11650,11900,11400,11850,188353,0.0
2021-12-07,12500,12850,11900,12050,760256,0.016877637130801704
2021-12-08,12150,12300,11550,11800,320305,-0.020746887966805017
2021-12-09,11800,11850,11050,11200,550953,-0.05084745762711862
2021-12-10,11150,11450,10800,11100,482096,-0.008928571428571397
2021-12-13,11150,11300,10750,11050,485281,-0.0045045045045044585
2021-12-14,10950,11000,10500,10600,398085,-0.040723981900452455
2021-12-15,10550,10850,10450,10800,199356,0.018867924528301883
2021-12-16,10950,11100,10750,11050,250275,0.02314814814814814
2021-12-17,10850,11000,10600,10800,177818,-0.022624434389140302
2021-12-20,10700,10700,10150,10500,359733,-0.02777777777777779
2021-12-21,10500,10600,10150,10500,210566,0.0
2021-12-22,10700,11250,10650,10750,514140,0.023809523809523725
2021-12-23,11100,12000,11100,11600,1524205,0.07906976744186056
2021-12-24,11450,11850,11400,11600,282539,0.0
2021-12-27,11600,11800,11350,11600,790618,0.0
2021-12-28,11750,12700,11600,12050,1783768,0.0387931034482758
2021-12-29,12400,12900,12150,12600,1053341,0.045643153526971014
2021-12-30,12550,12600,12200,12400,478072,-0.015873015873015928
2022-01-03,12450,12850,12150,12750,410347,0.02822580645161299
2022-01-04,12750,12800,12250,12750,381300,0.0
2022-01-05,12550,13800,11850,12050,2664866,-0.05490196078431375
2022-01-06,11700,12300,11600,12000,523818,-0.004149377593360981
