Date,Open,High,Low,Close,Volume,Change
2021-11-12,16200,17200,16100,16950,996375,0.059374999999999956
2021-11-15,17350,17700,17100,17400,843688,0.026548672566371723
2021-11-16,17450,18100,17150,17950,895723,0.031609195402298784
2021-11-17,18000,18450,17600,17950,664452,0.0
2021-11-18,17950,18350,17600,18100,451334,0.008356545961002881
2021-11-19,19100,21000,18350,18400,5570294,0.016574585635359185
2021-11-22,18600,20050,18400,19350,2004823,0.05163043478260865
2021-11-23,19550,19600,17500,17500,1355210,-0.09560723514211888
2021-11-24,17500,18000,16250,16650,1107776,-0.0485714285714286
2021-11-25,16850,17300,16700,17250,374409,0.03603603603603611
2021-11-26,17250,17350,16400,16800,362770,-0.02608695652173909
2021-11-29,15900,17350,15900,16750,463188,-0.0029761904761904656
2021-11-30,17150,17350,15600,15900,417513,-0.05074626865671639
2021-12-01,15800,17000,15500,17000,556382,0.0691823899371069
2021-12-02,16900,19250,16800,18750,1789226,0.10294117647058831
2021-12-03,19000,19850,18850,19300,1016042,0.029333333333333433
2021-12-06,19050,21100,18800,19650,2165599,0.0181347150259068
2021-12-07,19750,21000,18850,20550,1579016,0.04580152671755733
2021-12-08,20950,26250,20850,22050,12654229,0.07299270072992692
2021-12-09,22100,22850,21800,22150,2025158,0.0045351473922903285
2021-12-10,21900,21900,21000,21000,978759,-0.05191873589164786
2021-12-13,21150,24200,20900,22300,6337041,0.06190476190476191
2021-12-14,22050,22600,21150,21550,1032126,-0.03363228699551568
2021-12-15,21700,22950,21200,22350,1111963,0.037122969837587005
2021-12-16,23050,24550,21750,21900,2362999,-0.020134228187919434
2021-12-17,21550,22850,21550,22300,992549,0.0182648401826484
2021-12-20,22550,22700,20600,20700,738259,-0.0717488789237668
2021-12-21,21300,22100,20900,21700,761702,0.048309178743961345
2021-12-22,22100,23400,21950,22400,1200653,0.032258064516129004
2021-12-23,22850,24700,22250,24600,3768317,0.09821428571428581
2021-12-24,24200,24650,23550,24200,1007046,-0.016260162601625994
2021-12-27,23900,25550,23300,24900,1627677,0.02892561983471076
2021-12-28,26050,27050,23850,23850,4815615,-0.04216867469879515
2021-12-29,23600,24250,23500,24000,611143,0.0062893081761006275
2021-12-30,24250,24350,23500,23700,476659,-0.012499999999999956
2022-01-03,23500,24400,23350,24400,422262,0.029535864978903037
2022-01-04,24550,25450,23800,24700,1120269,0.012295081967213184
2022-01-05,24400,24550,23100,23100,560203,-0.06477732793522262
2022-01-06,22400,23450,22250,22400,579884,-0.030303030303030276
2022-01-07,23000,24500,23000,23850,1271301,0.0647321428571428
2022-01-10,23850,24850,23750,24500,860465,0.027253668763102645
2022-01-11,24250,26500,23900,25250,4721936,0.030612244897959107
2022-01-12,25100,25550,24550,25400,845572,0.005940594059405946
2022-01-13,25150,25250,24050,24050,652560,-0.053149606299212615
2022-01-14,23450,24600,23400,24250,451680,0.008316008316008316
2022-01-17,24500,25450,23650,23900,1060002,-0.014432989690721598
2022-01-18,24150,24300,22900,23250,462589,-0.027196652719665315
2022-01-19,22950,23750,22550,23150,393890,-0.004301075268817178
2022-01-20,23050,23750,22900,23700,210301,0.023758099352051865
2022-01-21,23200,23450,22200,22400,414949,-0.05485232067510548
2022-01-24,21750,22550,21500,22100,321847,-0.013392857142857095
2022-01-25,22100,22500,21250,21250,433741,-0.038461538461538436
2022-01-26,21500,22000,20850,21400,278890,0.007058823529411784
2022-01-27,21550,22200,20750,21500,450139,0.004672897196261738
2022-01-28,21950,22800,21200,22500,482049,0.04651162790697683
2022-02-03,23000,23150,21800,21850,366517,-0.028888888888888853
2022-02-04,21600,22400,21550,22250,167851,0.01830663615560635
2022-02-07,22300,22350,21550,21750,142345,-0.022471910112359605
2022-02-08,21950,22000,20200,20650,327638,-0.05057471264367819
2022-02-09,20800,21150,20250,20750,270911,0.004842615012106588
2022-02-10,21000,21100,19950,20050,321035,-0.03373493975903619
2022-02-11,19900,20350,19650,19850,230178,-0.009975062344139696
2022-02-14,19350,19450,18550,18900,357002,-0.04785894206549124
2022-02-15,19000,19500,18850,19100,184898,0.010582010582010692
2022-02-16,20000,20550,19750,20350,308988,0.0654450261780104
2022-02-17,20200,20650,19200,19700,303692,-0.03194103194103193
2022-02-18,19400,20150,19250,20050,152900,0.017766497461928932
2022-02-21,19850,20650,19500,20550,204481,0.02493765586034913
2022-02-22,20300,21150,19850,20000,407819,-0.02676399026763987
2022-02-23,20400,20650,19950,20550,226708,0.02750000000000008
2022-02-24,20150,20350,19250,19350,201445,-0.058394160583941646
2022-02-25,19800,20100,19600,19800,165358,0.023255813953488413
2022-02-28,19700,20150,19400,20000,91798,0.010101010101010166
2022-03-02,20100,20300,19650,20150,103660,0.007500000000000062
2022-03-03,20350,21250,20200,21150,385035,0.04962779156327546
2022-03-04,21150,21200,20650,21050,176609,-0.004728132387706863
2022-03-07,20550,20600,19950,19950,154556,-0.052256532066508266
2022-03-08,20500,21550,20450,20600,816126,0.032581453634085156
2022-03-10,21100,21800,20900,21150,363500,0.02669902912621369
2022-03-11,21050,21300,20550,20950,192283,-0.009456264775413725
2022-03-14,20850,21250,20400,20750,200505,-0.009546539379474916
2022-03-15,20600,20850,20450,20700,106448,-0.002409638554216831
2022-03-16,21000,21050,20650,20950,146863,0.012077294685990392
2022-03-17,21350,21700,21150,21250,273798,0.014319809069212486
2022-03-18,21250,21550,20950,21400,183745,0.007058823529411784
2022-03-21,21600,21800,21300,21400,186467,0.0
2022-03-22,21200,21450,21150,21450,109832,0.002336448598130758
2022-03-23,21550,21600,21100,21200,168795,-0.011655011655011704
2022-03-24,21000,22400,20950,22250,662549,0.04952830188679247
2022-03-25,22550,23700,22300,23500,834561,0.05617977528089879
2022-03-28,23400,23900,23100,23900,394939,0.017021276595744705
2022-03-29,23900,23900,22850,22850,349636,-0.043933054393305415
2022-03-30,23250,23600,22600,22700,234244,-0.006564551422319487
2022-03-31,22550,23050,22250,22650,175903,-0.0022026431718061845
2022-04-01,22600,22600,22050,22250,176785,-0.017660044150110354
2022-04-04,22300,23200,21900,22800,283826,0.024719101123595433
2022-04-05,22850,22900,22300,22450,127567,-0.015350877192982448
2022-04-06,22150,23000,22100,22250,303308,-0.008908685968819552
