Date,Open,High,Low,Close,Volume,Change
2021-11-12,19900,20700,19850,20550,280176,0.037878787878787845
2021-11-15,20350,21450,20000,21200,436448,0.031630170316301776
2021-11-16,21350,22700,21000,21850,589930,0.030660377358490587
2021-11-17,22400,28400,21850,28400,8980888,0.29977116704805495
2021-11-18,29950,31100,28250,29350,10397180,0.03345070422535201
2021-11-19,29050,30200,28500,29400,4073159,0.0017035775127767216
2021-11-22,29200,29400,28350,28350,898922,-0.0357142857142857
2021-11-23,28400,31100,28400,29900,1378005,0.05467372134038806
2021-11-24,30600,31450,30050,31450,1133501,0.05183946488294322
2021-11-25,32250,33700,29800,31050,5171230,-0.012718600953895098
2021-11-26,30450,31800,28850,29700,1883842,-0.04347826086956519
2021-11-29,28650,31300,28200,30000,2628958,0.010101010101010166
2021-11-30,31250,34350,28500,29000,7563911,-0.033333333333333326
2021-12-01,29950,33150,28400,33150,6299287,0.14310344827586197
2021-12-02,31850,33700,30950,31950,4646834,-0.03619909502262442
2021-12-03,32150,32950,31650,32850,2211079,0.028169014084507005
2021-12-06,32200,34500,32000,33000,5304452,0.004566210045662045
2021-12-07,33450,33900,29650,29900,3646538,-0.09393939393939399
2021-12-08,30200,30650,29200,29500,1561599,-0.013377926421404673
2021-12-09,30000,31500,29850,30750,2709407,0.04237288135593231
2021-12-10,30350,32750,30150,32150,3648231,0.04552845528455274
2021-12-13,32200,32950,30500,30800,2227056,-0.0419906687402799
2021-12-14,29600,30400,28850,29350,1242063,-0.04707792207792205
2021-12-15,29200,29500,27200,27900,1790544,-0.04940374787052815
2021-12-16,28300,28850,27100,27200,1320781,-0.02508960573476704
2021-12-17,27300,31600,26200,28900,9549898,0.0625
2021-12-20,26950,27800,25500,25550,2414265,-0.11591695501730104
2021-12-21,25550,26750,24900,25550,1615123,0.0
2021-12-22,25550,26800,25550,26250,1085492,0.027397260273972712
2021-12-23,26550,28350,26200,26650,1414896,0.015238095238095273
2021-12-24,27000,27700,26300,26550,757074,-0.0037523452157598447
2021-12-27,26550,26800,25250,25350,706233,-0.04519774011299438
2021-12-28,25500,26150,25100,25700,683077,0.013806706114398493
2021-12-29,25750,26600,25600,26300,675745,0.023346303501945442
2021-12-30,26450,27200,26300,26550,775117,0.009505703422053147
2022-01-03,26600,27200,26300,26950,503578,0.015065913370998052
2022-01-04,27050,27150,25900,26400,533222,-0.020408163265306145
2022-01-05,26400,26400,25100,25350,540306,-0.03977272727272729
2022-01-06,24150,25250,24050,24050,621031,-0.05128205128205132
2022-01-07,24100,25000,24100,24550,372833,0.02079002079002068
2022-01-10,24800,25000,23800,24400,341679,-0.006109979633401208
